skn,ncei_id,station_name,station_id,nws_sid,island,network,elevation,latitude,longitude,start_year,end_year,rf,ta,rh,ws,sw,lw,observer,data_source,edit_notes,nwsli,nesdis_id,name_hads,hads_elev,owner_code_hads,vars_hads,latitude_d_hads,longitude_d_hads,match_notes,name_ncei,mindate_ncei,maxdate_ncei,latitude_ncei,longitude_ncei,name_scan,id_scan,latitude_scan,longitude_scan,nws_kk_name,kk_nws_match_notes,name,nws_id,nws_name
2.16,NA,Castle Padd Tank,2.16,NA,Bi,State,1540,19.21365726,-155.7888761,1956,1957,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Castle Padd Tank,NA,NA
2.17,NA,Okoe,2.17,NA,Bi,State,485,19.16699076,-155.8652659,1958,1977,RF,NA,NA,NA,NA,NA,PUUWAAWAA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okoe,NA,NA
2.18,NA,Kole Pen,2.18,NA,Bi,State,280,19.13865819,-155.875544,1960,1977,RF,NA,NA,NA,NA,NA,PUUWAAWAA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kole Pen,NA,NA
2.2,NA,Kahuku Shed 3,2.2,NA,Bi,State,1491,19.16474,-155.68228,1920,1952,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kahuku Shed 3,NA,NA
2.22,NA,Furlka,2.22,NA,Bi,State,976,19.18199125,-155.8255431,1979,1979,RF,NA,NA,NA,NA,NA,PUUWAAWAA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Furlka,NA,NA
2.23,NA,Bill Jack,2.23,NA,Bi,State,628,19.18199061,-155.8505432,1957,1957,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bill Jack,NA,NA
2.24,NA,Kau,2.24,NA,BI,State,720,19.10866081,-155.7958228,1966,1968,RF,NA,NA,NA,NA,NA,WINFORD GARDENS,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kau,NA,NA
2.25,NA,Reservoir (2940),2.25,NA,Bi,State,896,19.16060318,-155.8224882,1966,1977,RF,NA,NA,NA,NA,NA,PUUWAAWAA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reservoir (2940),NA,NA
2.26,NA,Castle,2.26,NA,Bi,State,1732,19.22532337,-155.7788762,1967,1979,RF,NA,NA,NA,NA,NA,PUUWAAWAA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Castle,NA,NA
2.3,NA,Hoopuloa Upper,2.3,NA,Bi,State,739,19.21032328,-155.8522094,1903,1912,RF,NA,NA,NA,NA,NA,DOMKOWICZ RYS,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hoopuloa Upper,NA,NA
2.31,NA,South Kona,2.31,NA,Bi,State,808,19.09699465,-155.7497122,1977,1986,RF,NA,NA,NA,NA,NA,MRS C CARLSON,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Kona,NA,NA
2.32,USC00518652,SOUTH KONA 2 2.32,518652,NA,Bi,COOP,647,19.10778,-155.78944,1989,2017,RF,Ta,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH KONA 2 2.32, HI US",6/1/1989,8/31/2018,19.0826,-155.7532,NA,NA,NA,NA,NA,NA,SOUTH KONA 2 2.32,NA,NA
2.34,USC00516304,MILOLII 2.34,516304,NA,Bi,COOP,280,19.186302,-155.886763,1985,2017,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MILOLII 2.34, HI US",5/1/1985,7/31/2018,19.207,-155.8816,NA,NA,NA,NA,NA,NA,MILOLII 2.34,NA,NA
2.35,USC00511922,HONOMALINO 2.35,511922,NA,Bi,COOP,610,19.201,-155.843,1999,2002,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HONOMALINO 2.35,NA,NA
2.36,USC00513376,KAPUA 2.36,513376,NA,Bi,COOP,533,19.14472,-155.84944,2000,2017,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KAPUA 2.36, HI US",8/1/2000,9/2/2018,19.1445,-155.8494,NA,NA,NA,NA,NA,NA,KAPUA 2.36,NA,NA
2.4,NA,Hoopuloa Lower,2.4,NA,Bi,State,503,19.19698981,-155.8688765,1897,1905,RF,NA,NA,NA,NA,NA,EDWARDS EH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hoopuloa Lower,NA,NA
2.7,NA,Kahuku Plant,2.7,NA,Bi,State,732,19.23587837,-155.8585982,1909,1910,RF,NA,NA,NA,NA,NA,ARNEMANN WHG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kahuku Plant,NA,NA
2.8,NA,Top Coffee Papa,2.8,NA,BI,State,625,19.19532346,-155.855543,1956,1957,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Top Coffee Papa,NA,NA
2.9,US1HIHI0019,CAPTAIN COOK 2.9 SSE,US1HIHI0019,NA,BI,CoCoRaHS,238,19.4594,-155.8938,1956,2017,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAPTAIN COOK 2.9 SSE, HI US",10/16/2012,7/8/2018,19.4594,-155.8938,NA,NA,NA,NA,NA,NA,CAPTAIN COOK 2.9 SSE,NA,NA
3,NA,South Pt Corral,3,NA,Bi,State,122,18.94700043,-155.6799932,1948,1981,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Pt Corral,NA,NA
3.1,NA,Kahuku 2 Makai,3.1,NA,Bi,State,1311,19.13838146,-155.6986016,1949,1973,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kahuku 2 Makai,NA,NA
3.11,USC00516144,MAUKA RESERVOIR 3.11,516144,NA,Bi,COOP,1521,19.1618,-155.6695,1983,2015,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAUKA RESERVOIR 3.11,NA,NA
3.2,NA,Kahuku Shed I,3.2,NA,Bi,State,1067,19.11421567,-155.6972128,1914,1973,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kahuku Shed I,NA,NA
3.22,US1HIHI0035,HAWAIIAN OCEAN VIEW 4.7 NNE,US1HIHI0035,NA,Bi,CoCoRaHS,1273,19.135,-155.747,2003,2017,RF,NA,NA,NA,NA,NA,PARKER RANCH,NCEI,"*ASSIGNED NEW SKN to resolve dup SKN 3, State, 'South Pt Corral'",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAWAIIAN OCEAN VIEW 4.7 NNE, HI US",12/31/2003,9/23/2018,19.135,-155.747,NA,NA,NA,NA,NA,NA,HAWAIIAN OCEAN VIEW 4.7 NNE,NA,NA
3.3,NA,Kealakoa,3.3,NA,Bi,State,945,19.11504791,-155.6330485,1969,1974,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kealakoa,NA,NA
3.4,NA,Kahiawai,3.4,NA,Bi,State,1128,19.12754937,-155.7577673,1965,1977,RF,NA,NA,NA,NA,NA,SMITH RUSSELL,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kahiawai,NA,NA
3.5,NA,Glover,3.5,NA,Bi,State,1207,19.12782672,-155.7180456,1969,1974,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glover,NA,NA
3.6,NA,Manuwai Nui,3.6,NA,Bi,State,1146,19.12310389,-155.6766578,1963,1974,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manuwai Nui,NA,NA
3.8,NA,Kahiawai Mauka,3.8,NA,Bi,State,1256,19.13227142,-155.759156,1976,1978,RF,NA,NA,NA,NA,NA,SMITH R,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kahiawai Mauka,NA,NA
3.9,NA,Lower Kahuku,HLKA,LKHH1,BI,RAWS,954,19.100833,-155.669722,2012,2017,RF,Ta,RH,WS,Sw,NA,RAWS,RAWS;WRCC,NA,LKHH1,32D620C2,LOWER KAHUKU RAWS NEAR NAALEHU 6NW,2300,NPS003,PC RW TA UD UP UR US VB XR,19.1008,-155.67,matched HADS grep('*RAWS*') stations to SKN by station name using fuzzy matching os station names agrep function in R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lower Kahuku,LKHH1, Lower Kahuku                
4,NA,Kamaoa,4,NA,Bi,State,326,19.0042156,-155.6638817,1945,1952,RF,NA,NA,NA,NA,NA,KAWAIHAE RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamaoa,NA,NA
4.1,NA,Kahuku Rch Hse,4.1,NA,Bi,State,610,19.05532714,-155.6922135,1914,1974,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kahuku Rch Hse,NA,NA
4.11,NA,Kamaoa,4.11,NA,Bi,State,327,19.04143649,-155.6277712,1970,1971,RF,NA,NA,NA,NA,NA,KAWAIHAE RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamaoa,NA,NA
4.12,US1HIHI0001,NAALEHU 4.6 WSW,US1HIHI0001,NA,Bi,CoCoRaHS,391,19.0424,-155.6354,2009,2017,RF,NA,NA,NA,NA,NA,CoCoRaHS,NCEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAALEHU 4.6 WSW, HI US",7/26/2009,9/24/2018,19.0424,-155.6354,NA,NA,NA,NA,NA,NA,NAALEHU 4.6 WSW,NA,NA
4.13,US1HIHI0010,NAALEHU 5.0 WSW,US1HIHI0010,NA,Bi,CoCoRaHS,436,19.0424,-155.643,2011,2017,RF,NA,NA,NA,NA,NA,CoCoRaHS,NCEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAALEHU 5.0 WSW,NA,NA
4.2,NA,Keaa Homesteads,4.2,NA,Bi,State,512,19.04365913,-155.6588813,1901,1906,RF,NA,NA,NA,NA,NA,BARTELS MRS F,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keaa Homesteads,NA,NA
4.3,NA,Kaalualu Bay,4.3,NA,Bi,State,6,18.97033138,-155.6138838,1956,1961,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaalualu Bay,NA,NA
4.6,NA,George Peck,4.6,NA,BI,State,312,18.99893763,-155.657493,1969,1974,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,George Peck,NA,NA
4.9,NA,Kaalualu,4.9,NA,Bi,State,5,18.93777778,-155.6458333,1962,1974,RF,NA,NA,NA,NA,NA,HAWN RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaalualu,NA,NA
5,NA,Kamaoa-P Ranch,5,NA,Bi,State,419,19.02532608,-155.6672146,1939,1982,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamaoa-P Ranch,NA,NA
5.1,USC00513054,KAMAOA PUUEO 5.1,513054,NA,Bi,COOP,317,19.01361,-155.66194,1983,2017,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KAMAOA PUUEO 5.1, HI US",7/1/1983,8/25/2018,19.0106,-155.6591,NA,NA,NA,NA,NA,NA,KAMAOA PUUEO 5.1,NA,NA
6,USC00514625,KIOLAKAA A&F 6,514625,NA,Bi,COOP,587,19.07032619,-155.6355484,1929,1998,RF,Ta,NA,NA,NA,NA,STATE DIV FTRY,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KIOLAKAA A&F 6,NA,NA
6.1,NA,Kau-Hayselden,6.1,NA,Bi,State,564,19.07532634,-155.6222157,1904,1913,RF,NA,NA,NA,NA,NA,HAYSELDEN WH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kau-Hayselden,NA,NA
6.2,US1HIHI0012,NAALEHU 5.7 W,US1HIHI0012,NA,Bi,CoCoRaHS,679,19.0732,-155.6632,2015,2017,RF,NA,NA,NA,NA,NA,CoCoRaHS,NCEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAALEHU 5.7 W, HI US",11/19/2015,9/23/2018,19.0732,-155.6632,NA,NA,NA,NA,NA,NA,NAALEHU 5.7 W,NA,NA
6.3,USC00512568,KAHUKU MILL CAMP 6.3,512568,NA,Bi,COOP,668,19.0654,-155.6781,1991,2015,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHUKU MILL CAMP 6.3,NA,NA
7,NA,Kiolakaa-Hayseld,7,NA,Bi,State,320,19.05032561,-155.6222157,1914,1953,RF,NA,NA,NA,NA,NA,HAYSELDEN WH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiolakaa-Hayseld,NA,NA
7.1,NA,Field 140,7.1,NA,Bi,State,442,19.07032708,-155.5972166,1964,1966,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 140,NA,NA
9.1,NA,Mauna Loa,9.1,NA,Bi,State,1890,19.24365061,-155.6105496,1959,1966,RF,NA,NA,NA,NA,NA,KAHUKU RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mauna Loa,NA,NA
9.2,NA,Nene Cabin,HNEN,NENH1,BI,RAWS,2006,19.256389,-155.614444,2012,2017,RF,Ta,RH,WS,Sw,NA,RAWS,RAWS;WRCC,NA,NENH1,32D64524,NENE CABIN RAWS NEAR PAHALA 9NW,2320,NPS003,PC RW TA UD UP UR US VB XR,19.2564,-155.614,matched HADS grep('*RAWS*') stations to SKN by station name using fuzzy matching os station names agrep function in R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nene Cabin,NENH1, Nene Cabin                  
10.1,NA,New Mt House Rd,10.1,NA,Bi,State,585,19.12199154,-155.593328,1964,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Mt House Rd,NA,NA
11.2,NA,Haao Springs,11.2,NA,Bi,State,823,19.08782636,-155.619438,1964,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haao Springs,NA,NA
11.3,NA,Field 450,11.3,NA,Bi,State,671,19.10699234,-155.5930502,1964,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 450,NA,NA
11.4,NA,Field 350,11.4,NA,Bi,State,585,19.08449338,-155.5916613,1964,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 350,NA,NA
12,NA,Kaala Iki,12,NA,Bi,State,409,19.12532461,-155.5622178,1939,1982,RF,NA,NA,NA,NA,NA,KAU SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaala Iki,NA,NA
12.1,NA,Hilea,12.1,NA,Bi,State,101,19.13365789,-155.5355517,1885,1938,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hilea,NA,NA
12.11,NA,Field 765,12.11,NA,Bi,State,518,19.16782193,-155.5472179,1964,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 765,NA,NA
12.12,NA,Field 715,12.12,NA,Bi,State,351,19.16337795,-155.5336071,1955,1974,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 715,NA,NA
12.13,NA,Hilea Gulch Trib,12.13,NA,Bi,State,927,19.17421032,-155.597217,1967,1991,RF,NA,NA,NA,NA,NA,USGS,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hilea Gulch Trib,NA,NA
12.15,USC00518600,SEA MOUNTAIN 12.15,518600,NA,Bi,COOP,21,19.13310292,-155.5152744,1982,2017,RF,Ta,NA,NA,NA,NA,SEA MOUNTAIN,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA MOUNTAIN 12.15, HI US",6/1/1982,9/22/2018,19.1335,-155.5113,NA,NA,NA,NA,NA,NA,SEA MOUNTAIN 12.15,NA,NA
12.7,NA,Field 656,12.7,NA,Bi,State,534,19.14976747,-155.5791617,1964,1973,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 656,NA,NA
12.8,NA,Field 750,12.8,NA,Bi,State,646,19.17976517,-155.5722178,1964,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 750,NA,NA
12.9,NA,Field 850,12.9,NA,Bi,State,595,19.17893212,-155.5527735,1962,1975,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 850,NA,NA
13,NA,Waiubata,13,NA,Bi,State,419,19.09643735,-155.5672178,1939,1975,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waiubata,NA,NA
13.2,NA,Field 435,13.2,NA,Bi,State,549,19.10532565,-155.5772175,1955,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 435,NA,NA
13.3,NA,Field 51,13.3,NA,Bi,State,530,19.12032479,-155.5738842,1964,1970,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 51,NA,NA
13.7,NA,Naalehu Airstrip,13.7,NA,Bi,State,360,19.07532737,-155.5758284,1964,1971,RF,NA,NA,NA,NA,NA,HUTCHINSON SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naalehu Airstrip,NA,NA
